Custom.Data.position,Custom.Data.salary_min,Custom.Data.salary_max,Custom.Data.experience,Custom.Data.degree,Custom.Data.work_place,Custom.Data.company_name,Custom.Data.company_type,Custom.Data.company_finance,Custom.Data.company_scale,Custom.Data.bonus,Custom.Data.url
Java,25k,50k,经验5-10年,本科,北京,车好多集团,消费生活,D轮及以上,2000人以上,大牛leader 核心业务,https://www.lagou.com/jobs/3420805.html
C++后台架构师,25k,40k,经验5-10年,本科,深圳,极光,企业服务,上市公司,500-2000人,"D轮+,攻城狮氛围,大数高并发,14薪+",https://www.lagou.com/jobs/3687427.html
运维工程师,15k,25k,经验3-5年,本科,武汉,微派,社交,B轮,50-150人,"亿级用户,充分授权,待遇丰富,空间巨大",https://www.lagou.com/jobs/2802795.html
Service Engineer,12k,24k,经验1-3年,本科,杭州,ZOOM,"移动互联网,社交",上市公司,500-2000人,"股票期权,五险一金,弹性工作,硅谷培训",https://www.lagou.com/jobs/5214458.html
高级Java开发工程师（客服系统）,20k,35k,经验5-10年,本科,上海,淘集集,电商,B轮,500-2000人,"扁平化管理,平台大,奖金多,15薪",https://www.lagou.com/jobs/5627526.html
后台开发工程师,15k,30k,经验3-5年,本科,深圳,平安产险,金融,上市公司,2000人以上,"大平台,专业团队,高福利",https://www.lagou.com/jobs/5548815.html
资深Java开发工程师（杭州）,20k,40k,经验3-5年,本科,杭州,Fordeal,"电商,移动互联网",C轮,2000人以上,发展空间大，管理扁平化，福利待遇全,https://www.lagou.com/jobs/5480001.html
高级java开发工程师,20k,35k,经验5-10年,本科,北京,明略科技集团,"数据服务,广告营销",D轮及以上,2000人以上,弹性工作、层级扁平、带薪年假、房补车补,https://www.lagou.com/jobs/5590686.html
java资深工程师/技术专家,25k,50k,经验5-10年,本科,上海,还呗-智能信贷领先者,金融,B轮,500-2000人,精英团队 助力成长,https://www.lagou.com/jobs/5567255.html
业务运维工程师（O2O）,18k,30k,经验3-5年,本科,上海,招商银行信用卡中心,金融,上市公司,2000人以上,"年终奖,补充公积金,赋能文化",https://www.lagou.com/jobs/4821620.html
后端工程师,18k,36k,经验3-5年,不限,北京,实地高科技,其他,不需要融资,500-2000人,技术大牛 大平台,https://www.lagou.com/jobs/6016238.html
高级运维开发工程师,20k,35k,经验不限,本科,深圳,极光,企业服务,上市公司,500-2000人,上市公司、大数据平台、下午茶、弹性工作制,https://www.lagou.com/jobs/901640.html
资深后端开发工程师,35k,55k,经验5-10年,本科,北京,车好多集团,消费生活,D轮及以上,2000人以上,独角兽 期权激励 优质团队 弹性工时,https://www.lagou.com/jobs/5367390.html
1111S1-云平台技术专家-上海,20k,40k,经验5-10年,本科,上海,平安科技,金融,不需要融资,2000人以上,"五险一金,绩效奖金",https://www.lagou.com/jobs/5480444.html
资深java开发工程师,30k,60k,经验不限,本科,北京,百信银行,金融,不需要融资,150-500人,六险一金、大牛多、工作环境超赞,https://www.lagou.com/jobs/4004985.html
高级java开发工程师,20k,40k,经验3-5年,本科,北京,微聚未来,"移动互联网,金融",不需要融资,500-2000人,"牛人团队,带薪年假,16薪考核,快速成长",https://www.lagou.com/jobs/5385956.html
中高级PHP工程师,14k,25k,经验1-3年,本科,上海,淘集集,电商,B轮,500-2000人,发展空间大 福利佳,https://www.lagou.com/jobs/5915881.html
Ruby开发工程师,12k,20k,经验1-3年,本科,广州,瑞卡连锁租车集团,消费生活,不需要融资,500-2000人,"平台大大牛多氛围好,加班少,995福利好",https://www.lagou.com/jobs/4558115.html
后台开发工程师,20k,40k,经验不限,本科,深圳,网心科技,区块链,未融资,500-2000人,六险一金 年假 福利丰厚 技术氛围浓,https://www.lagou.com/jobs/5839205.html
Golang系统开发工程师,25k,45k,经验3-5年,本科,深圳,商汤科技,人工智能,C轮,2000人以上,绩效奖金，弹性工作，人工智能,https://www.lagou.com/jobs/5571882.html
测试开发工程师（资产管理）--北京,20k,35k,经验3-5年,不限,北京,有赞,电商,上市公司,2000人以上,业务挑战大 扁平化管理,https://www.lagou.com/jobs/5784328.html
后端开发工程师,12k,20k,经验3-5年,本科,深圳,KLOOK 客路旅行,旅游,D轮及以上,500-2000人,"国际化平台,环境舒适,好玩有趣",https://www.lagou.com/jobs/5959350.html
JAVA开发工程师,20k,40k,经验3-5年,本科,北京,贝壳,房产家居,D轮及以上,2000人以上,"六险一金,绩效奖金,三餐免费,打车报销",https://www.lagou.com/jobs/4986957.html
高级C++开发工程师,15k,30k,经验3-5年,本科,深圳,极光,企业服务,上市公司,500-2000人,上市公司、技术氛围好、弹性工作制,https://www.lagou.com/jobs/2010766.html
11213D-数据库架构师,20k,40k,经验5-10年,本科,上海,平安科技,金融,不需要融资,2000人以上,"五险一金,带薪年假,节日福利,绩效奖金",https://www.lagou.com/jobs/5522494.html
业务分析师,16k,32k,经验3-5年,本科,广州,瑞卡连锁租车集团,消费生活,不需要融资,500-2000人,"平台大,大牛多,好玩有趣,扁平化管理",https://www.lagou.com/jobs/4209948.html
